penal_id,partido_id,seleccion_id,orden,jugador_id,resultado
1,53,55,1,2619,atajado
2,53,24,1,2620,gol
3,53,55,2,2621,atajado
4,53,24,2,1485,gol
5,53,55,3,57,gol
6,53,24,3,86,poste
7,53,55,4,1456,atajado
8,53,24,4,2622,gol
9,55,58,1,1413,gol
10,55,35,1,2623,poste
11,55,58,2,112,gol
12,55,35,2,62,atajado
13,55,58,3,2624,atajado
14,55,35,3,28,atajado
15,55,58,4,1551,gol
16,57,115,1,2625,atajado
17,57,5,1,1,gol
18,57,115,2,1478,atajado
19,57,5,2,1479,gol
20,57,115,3,1469,gol
21,57,5,3,1404,gol
22,57,115,4,142,gol
23,57,5,4,80,desviado
24,57,115,5,2626,gol
25,57,5,5,2627,gol
26,58,24,1,2620,gol
27,58,10,1,2628,atajado
28,58,24,2,87,gol
29,58,10,2,98,gol
30,58,24,3,7,gol
31,58,10,3,2629,gol
32,58,24,4,149,gol
33,58,10,4,1486,poste
34,64,5,1,1,gol
35,64,37,1,3,gol
36,64,5,2,2630,gol
37,64,37,2,2631,atajado
38,64,5,3,1479,gol
39,64,37,3,144,desviado
40,64,5,4,1404,gol
41,64,37,4,146,gol
42,115,35,1,387,gol
43,115,124,1,1521,gol
44,115,35,2,1582,gol
45,115,124,2,2632,gol
46,115,35,3,2633,atajado
47,115,124,3,154,gol
48,115,35,4,1643,gol
49,115,124,4,152,gol
50,115,35,5,200,atajado
51,116,24,1,205,atajado
52,116,27,1,176,atajado
53,116,24,2,85,gol
54,116,27,2,1716,gol
55,116,24,3,7,gol
56,116,27,3,2634,gol
57,116,24,4,1592,atajado
58,116,27,4,2635,atajado
59,116,24,5,178,gol
60,116,27,5,2636,atajado
61,120,19,1,190,gol
62,120,46,1,18,gol
63,120,19,2,191,gol
64,120,46,2,45,gol
65,120,19,3,2637,gol
66,120,46,3,132,atajado
67,120,19,4,2638,travesaño
68,120,46,4,237,gol
69,120,19,5,1588,atajado
70,120,46,5,2639,gol
71,123,124,1,1521,atajado
72,123,24,1,1485,gol
73,123,124,2,2640,gol
74,123,24,2,1471,atajado
75,123,124,3,233,desviado
76,123,24,3,7,gol
77,123,124,4,2632,gol
78,123,24,4,232,gol
79,123,124,5,2641,gol
80,123,24,5,178,gol
81,177,10,1,312,gol
82,177,17,1,1677,atajado
83,177,10,2,2642,desviado
84,177,17,2,246,atajado
85,177,10,3,2643,gol
86,177,17,3,274,gol
87,177,10,4,1675,atajado
88,177,17,4,2644,gol
89,177,10,5,12,gol
90,177,17,5,2645,poste
91,180,22,1,1410,gol
92,180,40,1,2646,gol
93,180,22,2,276,gol
94,180,40,2,2647,gol
95,180,22,3,1654,gol
96,180,40,3,2648,gol
97,180,22,4,255,gol
98,180,40,4,2649,atajado
99,180,22,5,1687,gol
100,187,115,1,243,gol
101,187,22,1,1410,gol
102,187,115,2,244,gol
103,187,22,2,276,atajado
104,187,115,3,314,gol
105,187,22,3,1654,gol
106,187,115,4,334,gol
107,187,22,4,2650,gol
108,187,22,5,1687,atajado
109,190,115,1,2651,atajado
110,190,5,1,1,gol
111,190,115,2,244,gol
112,190,5,2,1681,gol
113,190,115,3,314,atajado
114,190,5,3,161,gol
115,190,115,4,334,gol
116,190,5,4,422,gol
117,247,117,1,2652,gol
118,247,55,1,382,gol
119,247,117,2,2653,gol
120,247,55,2,1543,gol
121,247,117,3,359,gol
122,247,55,3,2654,travesaño
123,247,117,4,1829,gol
124,247,55,4,195,gol
125,247,117,5,2655,gol
126,250,135,1,40,gol
127,250,39,1,283,gol
128,250,135,2,1695,gol
129,250,39,2,455,gol
130,250,135,3,2656,gol
131,250,39,3,1804,atajado
132,250,135,4,397,desviado
133,250,39,4,2657,atajado
134,250,135,5,2006,gol
135,310,129,1,1853,atajado
136,310,134,1,435,atajado
137,310,129,2,432,travesaño
138,310,134,2,2658,gol
139,310,129,3,1855,atajado
140,310,134,3,434,gol
141,310,134,4,2659,gol
142,313,1,1,420,gol
143,313,5,1,1962,gol
144,313,1,2,482,gol
145,313,5,2,470,atajado
146,313,1,3,331,gol
147,313,5,3,422,gol
148,313,1,4,1906,gol
149,313,5,4,423,atajado
150,315,46,1,2660,atajado
151,315,120,1,365,gol
152,315,46,2,1913,gol
153,315,120,2,2661,poste
154,315,46,3,329,atajado
155,315,120,3,1957,desviado
156,315,46,4,1703,atajado
157,315,120,4,2662,gol
158,315,120,5,2,gol
159,372,35,1,496,gol
160,372,48,1,509,gol
161,372,35,2,2013,gol
162,372,48,2,480,travesaño
163,372,35,3,2089,desviado
164,372,48,3,2663,atajado
165,372,35,4,494,poste
166,372,48,4,2664,atajado
167,372,35,5,537,gol
168,372,48,5,1970,gol
169,379,35,1,496,gol
170,379,21,1,500,gol
171,379,35,2,2013,gol
172,379,21,2,328,gol
173,379,35,3,1825,gol
174,379,21,3,559,gol
175,379,35,4,2665,atajado
176,379,21,4,419,gol
177,379,21,5,655,gol
178,439,5,1,2666,gol
179,439,46,1,590,gol
180,439,5,2,406,atajado
181,439,46,2,2219,atajado
182,439,5,3,2220,gol
183,439,46,3,2667,gol
184,439,5,4,2668,gol
185,439,46,4,556,gol
186,439,5,5,470,gol
187,439,46,5,2669,atajado
188,445,10,1,4,gol
189,445,115,1,2263,gol
190,445,10,2,498,gol
191,445,115,2,603,gol
192,445,10,3,1849,gol
193,445,115,3,601,atajado
194,445,10,4,2343,gol
195,445,115,4,605,atajado
196,492,111,1,606,desviado
197,492,11,1,2323,atajado
198,492,111,2,701,atajado
199,492,11,2,2670,gol
200,492,111,3,2671,atajado
201,492,11,3,693,gol
202,492,111,4,2255,gol
203,492,11,4,692,gol
204,496,123,1,660,gol
205,496,128,1,716,desviado
206,496,123,2,661,gol
207,496,128,2,704,gol
208,496,123,3,2270,gol
209,496,128,3,686,gol
210,496,123,4,615,atajado
211,496,128,4,2347,gol
212,496,123,5,712,gol
213,496,128,5,2330,gol
214,496,123,6,2271,atajado
215,496,128,6,441,gol
216,500,10,1,684,atajado
217,500,53,1,2672,desviado
218,500,10,2,668,gol
219,500,53,2,2308,gol
220,500,10,3,715,gol
221,500,53,3,2673,gol
222,500,10,4,2343,gol
223,500,53,4,700,atajado
224,500,53,5,574,desviado
225,541,48,1,731,gol
226,541,123,1,661,gol
227,541,48,2,659,gol
228,541,123,2,2414,gol
229,541,48,3,2674,gol
230,541,123,3,2675,gol
231,541,48,4,2676,gol
232,541,123,4,2270,gol
233,541,48,5,2677,gol
234,541,123,5,2678,atajado
235,545,5,1,2383,gol
236,545,137,1,609,travesaño
237,545,5,2,817,gol
238,545,137,2,586,gol
239,545,5,3,9,atajado
240,545,137,3,2679,gol
241,545,5,4,2424,poste
242,545,137,4,2387,atajado
243,545,5,5,2680,gol
244,545,137,5,2681,atajado
245,549,53,1,2672,gol
246,549,5,1,2383,gol
247,549,53,2,574,gol
248,549,5,2,817,gol
249,549,53,3,2426,gol
250,549,5,3,2423,gol
251,549,53,4,2682,atajado
252,549,5,4,9,gol
253,549,53,5,774,atajado
254,550,46,1,730,gol
255,550,1,1,772,gol
256,550,46,2,835,gol
257,550,1,2,19,gol
258,550,46,3,775,gol
259,550,1,3,699,gol
260,550,46,4,2430,atajado
261,550,1,4,2683,gol
262,550,46,5,2684,desviado
263,598,10,1,779,atajado
264,598,37,1,811,gol
265,598,10,2,2685,gol
266,598,37,2,839,gol
267,598,10,3,871,gol
268,598,37,3,2686,gol
269,598,10,4,715,gol
270,598,37,4,834,desviado
271,598,10,5,1685,poste
272,598,37,5,800,gol
273,599,12,1,807,gol
274,599,35,1,836,gol
275,599,12,2,744,gol
276,599,35,2,826,atajado
277,599,12,3,2687,gol
278,599,35,3,2421,gol
279,599,12,4,765,gol
280,599,35,4,805,gol
281,599,12,5,2688,gol
282,599,35,5,2460,gol
283,653,1,1,2689,gol
284,653,37,1,916,gol
285,653,1,2,925,gol
286,653,37,2,839,gol
287,653,1,3,2526,atajado
288,653,37,3,813,gol
289,653,1,4,754,gol
290,653,37,4,884,atajado
291,653,1,5,841,gol
292,653,37,5,834,gol
293,653,1,6,908,gol
294,653,37,6,886,atajado
